Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,149.899994,151.740005,147.679993,148.710007,148.503723,74286600
2022-06-02,147.830002,151.270004,146.860001,151.210007,151.000259,72348100
2022-06-03,146.899994,147.970001,144.460007,145.380005,145.178345,88570300
2022-06-06,147.029999,148.570007,144.899994,146.139999,145.937286,71598400
2022-06-07,144.350006,149.000000,144.100006,148.710007,148.503723,67808200
2022-06-08,148.580002,149.869995,147.460007,147.960007,147.754776,53950200
2022-06-09,147.080002,147.949997,142.529999,142.639999,142.442139,69473000
